danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.721,0.689,0,-2.826,1,0.0341,0.144,0.0,0.0617,0.818,113.012,7qIV9g3fbu56fkEUg6nIAH,219987,4
0.842,0.655,0,-6.443,1,0.345,0.0743,0.000332,0.307,0.497,135.025,19BuvIK4q5Ukld0IsuXUy4,148556,4
0.468,0.837,1,-5.654,1,0.381,0.187,0.0,0.687,0.605,95.47,2IoVnTEyj8NdFBpWoEFrMZ,203653,3
0.75,0.662,7,-6.142,1,0.239,0.56,0.0,0.133,0.533,123.949,7ecGSqT8Ulbzhs5QwgWGVN,263647,4
0.667,0.715,1,-5.522,1,0.188,0.437,0.0,0.828,0.511,162.106,1f1mvHcJwPPponfS45uRp1,219259,5
0.667,0.621,5,-5.697,1,0.0271,0.47,4.15e-05,0.13,0.451,106.032,43GfQ1SC17rBWiHkOtdwK8,192229,4
0.766,0.626,1,-10.851,0,0.36,0.657,0.0,0.103,0.412,90.887,4IKnqJA2IJePtgjuDguAUw,142387,4
0.531,0.575,2,-6.214,1,0.0342,0.091,0.000493,0.125,0.191,180.022,00Hj710RrsLX5s9bothwlW,230525,4
0.793,0.588,9,-5.248,0,0.0353,0.464,0.0,0.105,0.601,93.004,4zIiarkbaDt2cm6sukb1Xt,240947,4
0.768,0.6,8,-9.567,1,0.203,0.316,0.0,0.101,0.834,132.039,5kqPqNBnMgRONrnlBA8qMl,212831,4
0.581,0.642,1,-5.318,1,0.407,0.0519,0.0,0.183,0.536,80.142,4aPB8rSxGFISs0o6V2LrTy,345160,4
0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.086,6rPO02ozF3bM7NnOV4h6s2,228827,4
0.824,0.714,11,-2.788,1,0.051,0.432,0.0,0.442,0.77,97.035,6Nqi1fWKYXrVXmF3RtQbSf,174433,4
0.713,0.551,1,-9.031,0,0.203,0.671,0.0,0.165,0.719,75.014,6kXSqDdK7MKBeBnugzGfDi,195600,3
0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039,1LiN0Z98FkR1t0m8KmLcAH,190005,4
0.869,0.607,6,-6.192,0,0.333,0.025,0.0,0.0906,0.531,160.011,1xsP6AITcWNigBYBYVnVZw,173489,4
0.491,0.765,1,-3.64,1,0.0378,0.304,0.0,0.138,0.43,162.308,6G6DiIkasBrTbARK74U7kv,218480,4
0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,6CcJMwBtXByIz4zQLzFkKc,291796,4
0.626,0.35,2,-10.84,0,0.0388,0.265,0.0,0.108,0.0732,127.068,2iRdbpbnZTvJBBJWxmTJsm,187203,4
0.61,0.641,8,-9.841,1,0.189,0.703,0.0,0.183,0.802,93.725,6HaTYIUKd8SzdvGOfutBRD,471768,4
0.54,0.474,10,-7.589,1,0.0294,0.372,0.0,0.118,0.22,128.051,5EXpL9orGpIsscSyBgPdSx,264160,4
0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,6lUNNXp7M8boA7gUEd6PSm,186600,4
0.755,0.621,6,-6.747,1,0.17,0.393,0.0,0.232,0.631,95.992,494ZfDEUkMIN6qhrqsNi75,186075,4
0.553,0.845,8,-3.977,1,0.049,0.015,0.0,0.366,0.677,128.064,2ipT2ARpIKXR4mlS7JEZEN,281360,4
0.754,0.741,1,-5.286,0,0.171,0.0908,0.0,0.0658,0.444,94.982,2dsbdPTyFRLJzJsgv8RISq,248000,4
0.831,0.719,10,-5.427,0,0.0545,0.318,0.000663,0.107,0.329,115.056,4LDcQ9sLkKCie4XcKaEwJD,246818,4
0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,4ZLzoOkj0MPWrTLvooIuaa,179080,4
0.703,0.609,11,-7.3,0,0.0444,0.111,0.0,0.0515,0.696,89.929,1gl8BBFdMRrgb3P7Jz5JQT,181515,4
0.481,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839,6fScgF2Y63ScU73nYju0ny,251819,4
0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,5W83ErFkO3aKAIS1WMi6u0,258800,4
0.692,0.377,7,-11.518,0,0.137,0.389,5.13e-06,0.106,0.206,100.03,5nXOacZiLz7b5Nds2Ouq9h,179267,4
0.786,0.483,0,-11.302,0,0.216,0.15,4.32e-05,0.0903,0.671,143.06,0UuqwLM3UFmwcXSJgfFHvr,205594,4
0.652,0.894,0,-5.145,0,0.0409,0.00404,0.00381,0.124,0.76,132.03,5vZ4IeUenK2cHub2d7yfWk,277397,4
0.467,0.349,0,-7.96,1,0.0339,0.572,0.0,0.204,0.343,140.212,5ql4tlxS3GtADNsSRi2GnW,306827,4
0.753,0.763,1,-7.237,0,0.0934,0.18,1.35e-06,0.0763,0.683,93.539,59hzW9X7ESycsOBBgC9lyd,149693,4
0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,5YN0zHycJ0Yxz31A5QsVov,188656,4
0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302,5qqabIl2vWzo9ApSC317sa,258773,4
0.692,0.671,10,-6.175,0,0.0612,0.515,0.0,0.113,0.45,95.304,0DGvKkcBCgd4UxRxKY0SqP,203908,4
0.75,0.918,11,-5.336,0,0.106,0.0182,1.19e-06,0.308,0.547,127.988,7cdzfYrqbbMC6auCV0yAQr,183750,4
0.812,0.578,1,-5.377,0,0.109,0.205,1.81e-05,0.0632,0.505,159.976,1i8vlrdnyOWGGqNKhKQM3C,140919,4
0.781,0.571,10,-8.623,0,0.141,0.19,4.54e-06,0.0922,0.628,133.871,7iuIofLDxuD3BXmUmStKWR,168689,4
0.68,0.883,11,-3.862,0,0.103,0.284,0.0,0.14,0.834,101.983,78Nyf6RlqBANlMhSnKyClT,200566,4
0.759,0.536,9,-6.663,0,0.173,0.821,4.57e-06,0.107,0.439,119.883,2OWVCFTolecLiGZPquvWvT,208080,4
0.782,0.6,7,-6.532,1,0.0416,0.0162,1.81e-06,0.108,0.612,120.05,20I6sIOMTCkB6w7ryavxtO,193400,4
0.641,0.614,7,-7.847,1,0.0532,0.0745,0.0,0.093,0.727,81.011,1qCLx3nX25NuhfPjM5E1qV,210889,4
0.656,0.756,2,-4.026,0,0.3,0.435,0.0,0.0934,0.645,168.031,2kkcJ8tSDV42LdWcPjy6We,188057,4
0.588,0.796,0,-3.945,0,0.262,0.386,0.0,0.198,0.546,192.128,5vLEmh5EolySKTvXsyWSOg,206853,4
