Country,cluster
Andorra,0
Argentina,0
Australia,1
Austria,2
Belgium,2
Bolivia,0
Brazil,0
Bulgaria,2
Canada,2
Chile,0
Colombia,0
Costa Rica,0
Cyprus,2
Czech Republic,2
Denmark,2
Dominican Republic,0
Ecuador,0
El Salvador,0
Estonia,2
Finland,0
France,2
Germany,2
Greece,2
Guatemala,0
Honduras,0
Hong Kong,1
Hungary,2
Iceland,1
India,2
Indonesia,1
Ireland,2
Israel,1
Italy,2
Japan,2
Latvia,2
Lithuania,2
Luxembourg,2
Malaysia,1
Malta,2
Mexico,0
Netherlands,2
New Zealand,1
Nicaragua,0
Norway,2
Panama,0
Paraguay,0
Peru,0
Philippines,1
Poland,2
Portugal,2
Romania,2
Singapore,1
Slovakia,2
South Africa,1
Spain,0
Sweden,2
Switzerland,2
Taiwan,1
Thailand,2
Turkey,2
United Kingdom,2
United States,2
Uruguay,0
Viet Nam,1
